# Adapted from ids-cdp.txt at https://github.com/cjkvi/cjkvi-ids (commit 86b4d16)
# Copyright (c) 2014-2018 CJKVI Database
# Based on CHISE IDS Database
U+4E07	万	^⿱一&CDP-8B6C;$
U+4E0C	丌	^⿱一&CDP-8BF5;$
U+4E0D	不	^⿱一&CDP-8665;$
U+4E0E	与	^⿹&CDP-8BBF;一$	^⿻&CDP-8BBF;一$
U+4E1A	业	^⿱&CDP-85F0;一$
U+4E1D	丝	^⿱⿰&CDP-895C;&CDP-895C;一$
U+4E21	両	^⿱一&CDP-8564;$
U+4E24	两	^⿱一&CDP-854B;$
U+4E25	严	^⿳一&CDP-85F0;厂$
U+4E27	丧	^⿱&CDP-8A65;&CDP-8CC6;$
U+4E2E	丮	^⿹⺄&CDP-8BF1;$
U+4E30	丰	^⿻丿&CDP-8BF1;$
U+4E33	丳	^⿻吕&CDP-8BF5;$
U+4E34	临	^⿰〢⿱&CDP-89BC;𫩏$
U+4E3E	举	^⿱兴&CDP-8BF1;$
U+4E4B	之	^⿱丶&CDP-8661;$
U+4E4C	乌	^⿹&CDP-89DE;一$
U+4E54	乔	^⿱夭&CDP-8BF5;$
U+4E55	乕	^⿸𠂆&CDP-89ED;$
U+4E80	亀	^⿱𠂊&CDP-89BD;$
U+4E89	争	^⿱𠂊&CDP-8BFE;$
U+4E99	亙	^⿳一&CDP-8959;一$
U+4E9E	亞	^⿳一&CDP-88A1;一$
U+4EA3	亣	^⿱亠&CDP-8BF5;$
U+4EA6	亦	^⿱亠&CDP-8CB5;$
U+4EA7	产	^⿱&CDP-8BAE;厂$
U+4EAD	亭	^⿱&CDP-8C4D;丁$
U+4EAE	亮	^⿱&CDP-8C4D;几$	^⿱&CDP-8C4D;儿$
U+4EB0	亰	^⿱亠&CDP-8CED;$
U+4EB3	亳	^⿱&CDP-8C4D;乇$
U+4EB4	亴	^⿳&CDP-8C4D;土九$	^⿳&CDP-8C4D;&CDP-8BF1;九$
U+4EB7	亷	^⿸产&CDP-8CDE;$
U+4ECB	介	^⿱人&CDP-8BF5;$
U+4EE4	令	^⿱亼&CDP-8A60;$
U+4EFA	仺	^⿱人&CDP-89E3;$
U+4F1E	伞	^⿱人&CDP-8A64;$
U+4FAF	侯	^⿰亻&CDP-8BC7;$
U+4FEE	修	^⿰&CDP-8B7A;⿱夂彡$	^⿰&CDP-8B7A;㣊$
